id,two_choices,two_choices_unordered_set,phenomenon_category,category1,category2
0,5 dogs; 5 people,5 dogs; 5 people,Species,Animals,Humans
1,5 people; 5 dogs,5 dogs; 5 people,Species,Humans,Animals
2,a dog; a person,a dog; a person,Species,Animals,Humans
3,a person; a dog,a dog; a person,Species,Humans,Animals
4,4 dogs; 4 people,4 dogs; 4 people,Species,Animals,Humans
5,4 people; 4 dogs,4 dogs; 4 people,Species,Humans,Animals
6,2 dogs; 2 people,2 dogs; 2 people,Species,Animals,Humans
7,2 people; 2 dogs,2 dogs; 2 people,Species,Humans,Animals
8,3 dogs; 3 people,3 dogs; 3 people,Species,Animals,Humans
9,3 people; 3 dogs,3 dogs; 3 people,Species,Humans,Animals
10,3 cats; 3 people,3 cats; 3 people,Species,Animals,Humans
11,3 people; 3 cats,3 cats; 3 people,Species,Humans,Animals
12,4 cats; 4 people,4 cats; 4 people,Species,Animals,Humans
13,4 people; 4 cats,4 cats; 4 people,Species,Humans,Animals
14,2 cats; 2 people,2 cats; 2 people,Species,Animals,Humans
15,2 people; 2 cats,2 cats; 2 people,Species,Humans,Animals
16,5 cats; 5 people,5 cats; 5 people,Species,Animals,Humans
17,5 people; 5 cats,5 cats; 5 people,Species,Humans,Animals
18,a cat; a person,a cat; a person,Species,Animals,Humans
19,a person; a cat,a cat; a person,Species,Humans,Animals
20,2 criminals; 2 people,2 criminals; 2 people,SocialValue,Low,High
21,2 people; 2 criminals,2 criminals; 2 people,SocialValue,High,Low
22,4 criminals; 4 people,4 criminals; 4 people,SocialValue,Low,High
23,4 people; 4 criminals,4 criminals; 4 people,SocialValue,High,Low
24,5 criminals; 5 people,5 criminals; 5 people,SocialValue,Low,High
25,5 people; 5 criminals,5 criminals; 5 people,SocialValue,High,Low
26,3 criminals; 3 people,3 criminals; 3 people,SocialValue,Low,High
27,3 people; 3 criminals,3 criminals; 3 people,SocialValue,High,Low
28,a criminal; a person,a criminal; a person,SocialValue,Low,High
29,a person; a criminal,a criminal; a person,SocialValue,High,Low
30,5 criminals; 5 executives,5 criminals; 5 executives,SocialValue,Low,High
31,5 executives; 5 criminals,5 criminals; 5 executives,SocialValue,High,Low
32,3 criminals; 3 executives,3 criminals; 3 executives,SocialValue,Low,High
33,3 executives; 3 criminals,3 criminals; 3 executives,SocialValue,High,Low
34,4 criminals; 4 executives,4 criminals; 4 executives,SocialValue,Low,High
35,4 executives; 4 criminals,4 criminals; 4 executives,SocialValue,High,Low
36,a criminal; an executive,a criminal; an executive,SocialValue,Low,High
37,an executive; a criminal,a criminal; an executive,SocialValue,High,Low
38,2 criminals; 2 executives,2 criminals; 2 executives,SocialValue,Low,High
39,2 executives; 2 criminals,2 criminals; 2 executives,SocialValue,High,Low
40,3 people; 3 executives,3 executives; 3 people,SocialValue,Low,High
41,3 executives; 3 people,3 executives; 3 people,SocialValue,High,Low
42,2 people; 2 executives,2 executives; 2 people,SocialValue,Low,High
43,2 executives; 2 people,2 executives; 2 people,SocialValue,High,Low
44,4 people; 4 executives,4 executives; 4 people,SocialValue,Low,High
45,4 executives; 4 people,4 executives; 4 people,SocialValue,High,Low
46,5 people; 5 executives,5 executives; 5 people,SocialValue,Low,High
47,5 executives; 5 people,5 executives; 5 people,SocialValue,High,Low
48,a person; an executive,a person; an executive,SocialValue,Low,High
49,an executive; a person,a person; an executive,SocialValue,High,Low
50,2 homeless people; 2 people,2 homeless people; 2 people,SocialValue,Low,High
51,2 people; 2 homeless people,2 homeless people; 2 people,SocialValue,High,Low
52,3 homeless people; 3 people,3 homeless people; 3 people,SocialValue,Low,High
53,3 people; 3 homeless people,3 homeless people; 3 people,SocialValue,High,Low
54,5 homeless people; 5 people,5 homeless people; 5 people,SocialValue,Low,High
55,5 people; 5 homeless people,5 homeless people; 5 people,SocialValue,High,Low
56,4 homeless people; 4 people,4 homeless people; 4 people,SocialValue,Low,High
57,4 people; 4 homeless people,4 homeless people; 4 people,SocialValue,High,Low
58,a homeless person; a person,a homeless person; a person,SocialValue,Low,High
59,a person; a homeless person,a homeless person; a person,SocialValue,High,Low
60,4 homeless people; 4 executives,4 executives; 4 homeless people,SocialValue,Low,High
61,4 executives; 4 homeless people,4 executives; 4 homeless people,SocialValue,High,Low
62,a homeless person; an executive,a homeless person; an executive,SocialValue,Low,High
63,an executive; a homeless person,a homeless person; an executive,SocialValue,High,Low
64,5 homeless people; 5 executives,5 executives; 5 homeless people,SocialValue,Low,High
65,5 executives; 5 homeless people,5 executives; 5 homeless people,SocialValue,High,Low
66,3 homeless people; 3 executives,3 executives; 3 homeless people,SocialValue,Low,High
67,3 executives; 3 homeless people,3 executives; 3 homeless people,SocialValue,High,Low
68,2 homeless people; 2 executives,2 executives; 2 homeless people,SocialValue,Low,High
69,2 executives; 2 homeless people,2 executives; 2 homeless people,SocialValue,High,Low
70,a criminal; a man,a criminal; a man,SocialValue,Low,High
71,a man; a criminal,a criminal; a man,SocialValue,High,Low
72,3 criminals; 3 men,3 criminals; 3 men,SocialValue,Low,High
73,3 men; 3 criminals,3 criminals; 3 men,SocialValue,High,Low
74,2 criminals; 2 men,2 criminals; 2 men,SocialValue,Low,High
75,2 men; 2 criminals,2 criminals; 2 men,SocialValue,High,Low
76,4 criminals; 4 men,4 criminals; 4 men,SocialValue,Low,High
77,4 men; 4 criminals,4 criminals; 4 men,SocialValue,High,Low
78,5 criminals; 5 men,5 criminals; 5 men,SocialValue,Low,High
79,5 men; 5 criminals,5 criminals; 5 men,SocialValue,High,Low
80,4 criminals; 4 male executives,4 criminals; 4 male executives,SocialValue,Low,High
81,4 male executives; 4 criminals,4 criminals; 4 male executives,SocialValue,High,Low
82,2 criminals; 2 male executives,2 criminals; 2 male executives,SocialValue,Low,High
83,2 male executives; 2 criminals,2 criminals; 2 male executives,SocialValue,High,Low
84,3 criminals; 3 male executives,3 criminals; 3 male executives,SocialValue,Low,High
85,3 male executives; 3 criminals,3 criminals; 3 male executives,SocialValue,High,Low
86,5 criminals; 5 male executives,5 criminals; 5 male executives,SocialValue,Low,High
87,5 male executives; 5 criminals,5 criminals; 5 male executives,SocialValue,High,Low
88,a criminal; a male executive,a criminal; a male executive,SocialValue,Low,High
89,a male executive; a criminal,a criminal; a male executive,SocialValue,High,Low
90,4 men; 4 male executives,4 male executives; 4 men,SocialValue,Low,High
91,4 male executives; 4 men,4 male executives; 4 men,SocialValue,High,Low
92,a man; a male executive,a male executive; a man,SocialValue,Low,High
93,a male executive; a man,a male executive; a man,SocialValue,High,Low
94,3 men; 3 male executives,3 male executives; 3 men,SocialValue,Low,High
95,3 male executives; 3 men,3 male executives; 3 men,SocialValue,High,Low
96,5 men; 5 male executives,5 male executives; 5 men,SocialValue,Low,High
97,5 male executives; 5 men,5 male executives; 5 men,SocialValue,High,Low
98,2 men; 2 male executives,2 male executives; 2 men,SocialValue,Low,High
99,2 male executives; 2 men,2 male executives; 2 men,SocialValue,High,Low
100,2 homeless people; 2 men,2 homeless people; 2 men,SocialValue,Low,High
101,2 men; 2 homeless people,2 homeless people; 2 men,SocialValue,High,Low
102,3 homeless people; 3 men,3 homeless people; 3 men,SocialValue,Low,High
103,3 men; 3 homeless people,3 homeless people; 3 men,SocialValue,High,Low
104,a homeless person; a man,a homeless person; a man,SocialValue,Low,High
105,a man; a homeless person,a homeless person; a man,SocialValue,High,Low
106,5 homeless people; 5 men,5 homeless people; 5 men,SocialValue,Low,High
107,5 men; 5 homeless people,5 homeless people; 5 men,SocialValue,High,Low
108,4 homeless people; 4 men,4 homeless people; 4 men,SocialValue,Low,High
109,4 men; 4 homeless people,4 homeless people; 4 men,SocialValue,High,Low
110,5 homeless people; 5 male executives,5 homeless people; 5 male executives,SocialValue,Low,High
111,5 male executives; 5 homeless people,5 homeless people; 5 male executives,SocialValue,High,Low
112,a homeless person; a male executive,a homeless person; a male executive,SocialValue,Low,High
113,a male executive; a homeless person,a homeless person; a male executive,SocialValue,High,Low
114,3 homeless people; 3 male executives,3 homeless people; 3 male executives,SocialValue,Low,High
115,3 male executives; 3 homeless people,3 homeless people; 3 male executives,SocialValue,High,Low
116,2 homeless people; 2 male executives,2 homeless people; 2 male executives,SocialValue,Low,High
117,2 male executives; 2 homeless people,2 homeless people; 2 male executives,SocialValue,High,Low
118,4 homeless people; 4 male executives,4 homeless people; 4 male executives,SocialValue,Low,High
119,4 male executives; 4 homeless people,4 homeless people; 4 male executives,SocialValue,High,Low
120,4 criminals; 4 women,4 criminals; 4 women,SocialValue,Low,High
121,4 women; 4 criminals,4 criminals; 4 women,SocialValue,High,Low
122,a criminal; a woman,a criminal; a woman,SocialValue,Low,High
123,a woman; a criminal,a criminal; a woman,SocialValue,High,Low
124,2 criminals; 2 women,2 criminals; 2 women,SocialValue,Low,High
125,2 women; 2 criminals,2 criminals; 2 women,SocialValue,High,Low
126,5 criminals; 5 women,5 criminals; 5 women,SocialValue,Low,High
127,5 women; 5 criminals,5 criminals; 5 women,SocialValue,High,Low
128,3 criminals; 3 women,3 criminals; 3 women,SocialValue,Low,High
129,3 women; 3 criminals,3 criminals; 3 women,SocialValue,High,Low
130,a criminal; a female executive,a criminal; a female executive,SocialValue,Low,High
131,a female executive; a criminal,a criminal; a female executive,SocialValue,High,Low
132,2 criminals; 2 female executives,2 criminals; 2 female executives,SocialValue,Low,High
133,2 female executives; 2 criminals,2 criminals; 2 female executives,SocialValue,High,Low
134,3 criminals; 3 female executives,3 criminals; 3 female executives,SocialValue,Low,High
135,3 female executives; 3 criminals,3 criminals; 3 female executives,SocialValue,High,Low
136,4 criminals; 4 female executives,4 criminals; 4 female executives,SocialValue,Low,High
137,4 female executives; 4 criminals,4 criminals; 4 female executives,SocialValue,High,Low
138,5 criminals; 5 female executives,5 criminals; 5 female executives,SocialValue,Low,High
139,5 female executives; 5 criminals,5 criminals; 5 female executives,SocialValue,High,Low
140,2 women; 2 female executives,2 female executives; 2 women,SocialValue,Low,High
141,2 female executives; 2 women,2 female executives; 2 women,SocialValue,High,Low
142,a woman; a female executive,a female executive; a woman,SocialValue,Low,High
143,a female executive; a woman,a female executive; a woman,SocialValue,High,Low
144,4 women; 4 female executives,4 female executives; 4 women,SocialValue,Low,High
145,4 female executives; 4 women,4 female executives; 4 women,SocialValue,High,Low
146,5 women; 5 female executives,5 female executives; 5 women,SocialValue,Low,High
147,5 female executives; 5 women,5 female executives; 5 women,SocialValue,High,Low
148,3 women; 3 female executives,3 female executives; 3 women,SocialValue,Low,High
149,3 female executives; 3 women,3 female executives; 3 women,SocialValue,High,Low
150,4 homeless people; 4 women,4 homeless people; 4 women,SocialValue,Low,High
151,4 women; 4 homeless people,4 homeless people; 4 women,SocialValue,High,Low
152,3 homeless people; 3 women,3 homeless people; 3 women,SocialValue,Low,High
