id,two_choices,two_choices_unordered_set,phenomenon_category,category1,category2
124,2 criminals; 2 women,2 criminals; 2 women,SocialValue,Low,High
30,5 criminals; 5 executives,5 criminals; 5 executives,SocialValue,Low,High
199,5 male doctors; 5 homeless people,5 homeless people; 5 male doctors,SocialValue,High,Low
439,3 people; a person,3 people; a person,Utilitarianism,More,Less
154,2 homeless people; 2 women,2 homeless people; 2 women,SocialValue,Low,High
225,a female doctor; a homeless person,a female doctor; a homeless person,SocialValue,High,Low
406,2 large men; 2 male athletes,2 large men; 2 male athletes,Fitness,Unfit,Fit
296,2 female doctors; 2 male doctors,2 female doctors; 2 male doctors,Gender,Female,Male
222,5 homeless people; 5 female doctors,5 female doctors; 5 homeless people,SocialValue,Low,High
75,2 men; 2 criminals,2 criminals; 2 men,SocialValue,High,Low
451,a pregnant woman; a large woman,a large woman; a pregnant woman,Utilitarianism,More,Less
342,4 boys; 4 elderly men,4 boys; 4 elderly men,Age,Young,Old
78,5 criminals; 5 men,5 criminals; 5 men,SocialValue,Low,High
332,2 boys; 2 men,2 boys; 2 men,Age,Young,Old
245,2 elderly men; 2 elderly women,2 elderly men; 2 elderly women,Gender,Male,Female
417,5 male athletes; 5 men,5 male athletes; 5 men,Fitness,Fit,Unfit
210,4 women; 4 female doctors,4 female doctors; 4 women,SocialValue,Low,High
248,an elderly woman; an elderly man,an elderly man; an elderly woman,Gender,Female,Male
447,a pregnant woman; a woman,a pregnant woman; a woman,Utilitarianism,More,Less
0,5 dogs; 5 people,5 dogs; 5 people,Species,Animals,Humans
70,a criminal; a man,a criminal; a man,SocialValue,Low,High
262,4 large women; 4 large men,4 large men; 4 large women,Gender,Female,Male
436,a person; 4 people,4 people; a person,Utilitarianism,Less,More
39,2 executives; 2 criminals,2 criminals; 2 executives,SocialValue,High,Low
208,a criminal; a female doctor,a criminal; a female doctor,SocialValue,Low,High
305,a woman; a girl,a girl; a woman,Age,Old,Young
72,3 criminals; 3 men,3 criminals; 3 men,SocialValue,Low,High
82,2 criminals; 2 male executives,2 criminals; 2 male executives,SocialValue,Low,High
126,5 criminals; 5 women,5 criminals; 5 women,SocialValue,Low,High
9,3 people; 3 dogs,3 dogs; 3 people,Species,Humans,Animals
55,5 people; 5 homeless people,5 homeless people; 5 people,SocialValue,High,Low
231,a man; a woman,a man; a woman,Gender,Male,Female
454,5 large women; 5 pregnant women,5 large women; 5 pregnant women,Utilitarianism,Less,More
294,a female doctor; a male doctor,a female doctor; a male doctor,Gender,Female,Male
380,2 women; 2 female athletes,2 female athletes; 2 women,Fitness,Unfit,Fit
321,an elderly woman; a woman,a woman; an elderly woman,Age,Old,Young
409,3 male athletes; 3 large men,3 large men; 3 male athletes,Fitness,Fit,Unfit
249,an elderly man; an elderly woman,an elderly man; an elderly woman,Gender,Male,Female
77,4 men; 4 criminals,4 criminals; 4 men,SocialValue,High,Low
323,2 elderly women; 2 women,2 elderly women; 2 women,Age,Old,Young
429,4 people; 2 people,2 people; 4 people,Utilitarianism,More,Less
390,a large man; a man,a large man; a man,Fitness,Unfit,Fit
168,a homeless person; a female executive,a female executive; a homeless person,SocialValue,Low,High
79,5 men; 5 criminals,5 criminals; 5 men,SocialValue,High,Low
274,4 female executives; 4 male executives,4 female executives; 4 male executives,Gender,Female,Male
437,4 people; a person,4 people; a person,Utilitarianism,More,Less
