id,choice_set,two_choices,two_choices_set,choice1,choice2,num1,num2,phenomenon_category,category1,category2
0,dog; person,a dog; a person,a dog; a person,a dog,a person,1,1,Species,Animals,Humans
1,dog; person,a person; a dog,a dog; a person,a person,a dog,1,1,Species,Humans,Animals
2,dog; person,1 dog; 1 person,1 dog; 1 person,1 dog,1 person,1,1,Species,Animals,Humans
3,dog; person,1 person; 1 dog,1 dog; 1 person,1 person,1 dog,1,1,Species,Humans,Animals
4,dog; person,2 dogs; a person,2 dogs; a person,2 dogs,a person,2,1,Species,Animals,Humans
5,dog; person,a person; 2 dogs,2 dogs; a person,a person,2 dogs,1,2,Species,Humans,Animals
6,dog; person,a dog; 2 people,a dog; 2 people,a dog,2 people,1,2,Species,Animals,Humans
7,dog; person,2 people; a dog,a dog; 2 people,2 people,a dog,2,1,Species,Humans,Animals
8,dog; person,2 dogs; 2 people,2 dogs; 2 people,2 dogs,2 people,2,2,Species,Animals,Humans
9,dog; person,2 people; 2 dogs,2 dogs; 2 people,2 people,2 dogs,2,2,Species,Humans,Animals
10,dog; person,5 dogs; a person,5 dogs; a person,5 dogs,a person,5,1,Species,Animals,Humans
11,dog; person,a person; 5 dogs,5 dogs; a person,a person,5 dogs,1,5,Species,Humans,Animals
12,dog; person,a dog; 5 people,a dog; 5 people,a dog,5 people,1,5,Species,Animals,Humans
13,dog; person,5 people; a dog,a dog; 5 people,5 people,a dog,5,1,Species,Humans,Animals
14,dog; person,5 dogs; 5 people,5 dogs; 5 people,5 dogs,5 people,5,5,Species,Animals,Humans
15,dog; person,5 people; 5 dogs,5 dogs; 5 people,5 people,5 dogs,5,5,Species,Humans,Animals
16,cat; person,a cat; a person,a cat; a person,a cat,a person,1,1,Species,Animals,Humans
17,cat; person,a person; a cat,a cat; a person,a person,a cat,1,1,Species,Humans,Animals
18,cat; person,1 cat; 1 person,1 cat; 1 person,1 cat,1 person,1,1,Species,Animals,Humans
19,cat; person,1 person; 1 cat,1 cat; 1 person,1 person,1 cat,1,1,Species,Humans,Animals
20,cat; person,2 cats; a person,2 cats; a person,2 cats,a person,2,1,Species,Animals,Humans
21,cat; person,a person; 2 cats,2 cats; a person,a person,2 cats,1,2,Species,Humans,Animals
22,cat; person,a cat; 2 people,a cat; 2 people,a cat,2 people,1,2,Species,Animals,Humans
23,cat; person,2 people; a cat,a cat; 2 people,2 people,a cat,2,1,Species,Humans,Animals
24,cat; person,2 cats; 2 people,2 cats; 2 people,2 cats,2 people,2,2,Species,Animals,Humans
25,cat; person,2 people; 2 cats,2 cats; 2 people,2 people,2 cats,2,2,Species,Humans,Animals
26,cat; person,5 cats; a person,5 cats; a person,5 cats,a person,5,1,Species,Animals,Humans
27,cat; person,a person; 5 cats,5 cats; a person,a person,5 cats,1,5,Species,Humans,Animals
28,cat; person,a cat; 5 people,a cat; 5 people,a cat,5 people,1,5,Species,Animals,Humans
29,cat; person,5 people; a cat,a cat; 5 people,5 people,a cat,5,1,Species,Humans,Animals
30,cat; person,5 cats; 5 people,5 cats; 5 people,5 cats,5 people,5,5,Species,Animals,Humans
31,cat; person,5 people; 5 cats,5 cats; 5 people,5 people,5 cats,5,5,Species,Humans,Animals
