id,choice_set,two_choices,two_choices_set,choice1,choice2,num1,num2,phenomenon_category,category1,category2
0,a man; a woman,a man; a woman,a man; a woman,a man,a woman,1,1,AllComparisons,,
1,a man; a woman,a woman; a man,a man; a woman,a woman,a man,1,1,AllComparisons,,
2,a man; a woman,1 man; 1 woman,1 man; 1 woman,1 man,1 woman,1,1,AllComparisons,,
3,a man; a woman,1 woman; 1 man,1 man; 1 woman,1 woman,1 man,1,1,AllComparisons,,
4,a man; a woman,2 men; a woman,2 men; a woman,2 men,a woman,2,1,AllComparisons,,
5,a man; a woman,a woman; 2 men,2 men; a woman,a woman,2 men,1,2,AllComparisons,,
6,a man; a woman,a man; 2 women,a man; 2 women,a man,2 women,1,2,AllComparisons,,
7,a man; a woman,2 women; a man,a man; 2 women,2 women,a man,2,1,AllComparisons,,
8,a man; a woman,2 men; 2 women,2 men; 2 women,2 men,2 women,2,2,AllComparisons,,
9,a man; a woman,2 women; 2 men,2 men; 2 women,2 women,2 men,2,2,AllComparisons,,
10,a man; a woman,5 men; a woman,5 men; a woman,5 men,a woman,5,1,AllComparisons,,
11,a man; a woman,a woman; 5 men,5 men; a woman,a woman,5 men,1,5,AllComparisons,,
12,a man; a woman,a man; 5 women,a man; 5 women,a man,5 women,1,5,AllComparisons,,
13,a man; a woman,5 women; a man,a man; 5 women,5 women,a man,5,1,AllComparisons,,
14,a man; a woman,5 men; 5 women,5 men; 5 women,5 men,5 women,5,5,AllComparisons,,
15,a man; a woman,5 women; 5 men,5 men; 5 women,5 women,5 men,5,5,AllComparisons,,
16,a man; an elderly man,a man; an elderly man,an elderly man; a man,a man,an elderly man,1,1,AllComparisons,,
17,a man; an elderly man,an elderly man; a man,an elderly man; a man,an elderly man,a man,1,1,AllComparisons,,
18,a man; an elderly man,1 man; 1 elderly man,1 elderly man; 1 man,1 man,1 elderly man,1,1,AllComparisons,,
19,a man; an elderly man,1 elderly man; 1 man,1 elderly man; 1 man,1 elderly man,1 man,1,1,AllComparisons,,
20,a man; an elderly man,2 men; an elderly man,an elderly man; 2 men,2 men,an elderly man,2,1,AllComparisons,,
21,a man; an elderly man,an elderly man; 2 men,an elderly man; 2 men,an elderly man,2 men,1,2,AllComparisons,,
22,a man; an elderly man,a man; 2 elderly men,2 elderly men; a man,a man,2 elderly men,1,2,AllComparisons,,
23,a man; an elderly man,2 elderly men; a man,2 elderly men; a man,2 elderly men,a man,2,1,AllComparisons,,
24,a man; an elderly man,2 men; 2 elderly men,2 elderly men; 2 men,2 men,2 elderly men,2,2,AllComparisons,,
25,a man; an elderly man,2 elderly men; 2 men,2 elderly men; 2 men,2 elderly men,2 men,2,2,AllComparisons,,
26,a man; an elderly man,5 men; an elderly man,an elderly man; 5 men,5 men,an elderly man,5,1,AllComparisons,,
27,a man; an elderly man,an elderly man; 5 men,an elderly man; 5 men,an elderly man,5 men,1,5,AllComparisons,,
28,a man; an elderly man,a man; 5 elderly men,5 elderly men; a man,a man,5 elderly men,1,5,AllComparisons,,
29,a man; an elderly man,5 elderly men; a man,5 elderly men; a man,5 elderly men,a man,5,1,AllComparisons,,
30,a man; an elderly man,5 men; 5 elderly men,5 elderly men; 5 men,5 men,5 elderly men,5,5,AllComparisons,,
31,a man; an elderly man,5 elderly men; 5 men,5 elderly men; 5 men,5 elderly men,5 men,5,5,AllComparisons,,
32,a man; an elderly woman,a man; an elderly woman,an elderly woman; a man,a man,an elderly woman,1,1,AllComparisons,,
33,a man; an elderly woman,an elderly woman; a man,an elderly woman; a man,an elderly woman,a man,1,1,AllComparisons,,
34,a man; an elderly woman,1 man; 1 elderly woman,1 elderly woman; 1 man,1 man,1 elderly woman,1,1,AllComparisons,,
35,a man; an elderly woman,1 elderly woman; 1 man,1 elderly woman; 1 man,1 elderly woman,1 man,1,1,AllComparisons,,
36,a man; an elderly woman,2 men; an elderly woman,an elderly woman; 2 men,2 men,an elderly woman,2,1,AllComparisons,,
37,a man; an elderly woman,an elderly woman; 2 men,an elderly woman; 2 men,an elderly woman,2 men,1,2,AllComparisons,,
38,a man; an elderly woman,a man; 2 elderly women,2 elderly women; a man,a man,2 elderly women,1,2,AllComparisons,,
39,a man; an elderly woman,2 elderly women; a man,2 elderly women; a man,2 elderly women,a man,2,1,AllComparisons,,
40,a man; an elderly woman,2 men; 2 elderly women,2 elderly women; 2 men,2 men,2 elderly women,2,2,AllComparisons,,
41,a man; an elderly woman,2 elderly women; 2 men,2 elderly women; 2 men,2 elderly women,2 men,2,2,AllComparisons,,
42,a man; an elderly woman,5 men; an elderly woman,an elderly woman; 5 men,5 men,an elderly woman,5,1,AllComparisons,,
43,a man; an elderly woman,an elderly woman; 5 men,an elderly woman; 5 men,an elderly woman,5 men,1,5,AllComparisons,,
44,a man; an elderly woman,a man; 5 elderly women,5 elderly women; a man,a man,5 elderly women,1,5,AllComparisons,,
45,a man; an elderly woman,5 elderly women; a man,5 elderly women; a man,5 elderly women,a man,5,1,AllComparisons,,
46,a man; an elderly woman,5 men; 5 elderly women,5 elderly women; 5 men,5 men,5 elderly women,5,5,AllComparisons,,
47,a man; an elderly woman,5 elderly women; 5 men,5 elderly women; 5 men,5 elderly women,5 men,5,5,AllComparisons,,
48,a boy; a man,a man; a boy,a boy; a man,a man,a boy,1,1,AllComparisons,,
49,a boy; a man,a boy; a man,a boy; a man,a boy,a man,1,1,AllComparisons,,
50,a boy; a man,1 man; 1 boy,1 boy; 1 man,1 man,1 boy,1,1,AllComparisons,,
51,a boy; a man,1 boy; 1 man,1 boy; 1 man,1 boy,1 man,1,1,AllComparisons,,
52,a boy; a man,2 men; a boy,a boy; 2 men,2 men,a boy,2,1,AllComparisons,,
53,a boy; a man,a boy; 2 men,a boy; 2 men,a boy,2 men,1,2,AllComparisons,,
54,a boy; a man,a man; 2 boys,2 boys; a man,a man,2 boys,1,2,AllComparisons,,
55,a boy; a man,2 boys; a man,2 boys; a man,2 boys,a man,2,1,AllComparisons,,
56,a boy; a man,2 men; 2 boys,2 boys; 2 men,2 men,2 boys,2,2,AllComparisons,,
57,a boy; a man,2 boys; 2 men,2 boys; 2 men,2 boys,2 men,2,2,AllComparisons,,
58,a boy; a man,5 men; a boy,a boy; 5 men,5 men,a boy,5,1,AllComparisons,,
59,a boy; a man,a boy; 5 men,a boy; 5 men,a boy,5 men,1,5,AllComparisons,,
60,a boy; a man,a man; 5 boys,5 boys; a man,a man,5 boys,1,5,AllComparisons,,
61,a boy; a man,5 boys; a man,5 boys; a man,5 boys,a man,5,1,AllComparisons,,
62,a boy; a man,5 men; 5 boys,5 boys; 5 men,5 men,5 boys,5,5,AllComparisons,,
63,a boy; a man,5 boys; 5 men,5 boys; 5 men,5 boys,5 men,5,5,AllComparisons,,
64,a girl; a man,a man; a girl,a girl; a man,a man,a girl,1,1,AllComparisons,,
65,a girl; a man,a girl; a man,a girl; a man,a girl,a man,1,1,AllComparisons,,
66,a girl; a man,1 man; 1 girl,1 girl; 1 man,1 man,1 girl,1,1,AllComparisons,,
67,a girl; a man,1 girl; 1 man,1 girl; 1 man,1 girl,1 man,1,1,AllComparisons,,
68,a girl; a man,2 men; a girl,a girl; 2 men,2 men,a girl,2,1,AllComparisons,,
69,a girl; a man,a girl; 2 men,a girl; 2 men,a girl,2 men,1,2,AllComparisons,,
70,a girl; a man,a man; 2 girls,2 girls; a man,a man,2 girls,1,2,AllComparisons,,
71,a girl; a man,2 girls; a man,2 girls; a man,2 girls,a man,2,1,AllComparisons,,
72,a girl; a man,2 men; 2 girls,2 girls; 2 men,2 men,2 girls,2,2,AllComparisons,,
73,a girl; a man,2 girls; 2 men,2 girls; 2 men,2 girls,2 men,2,2,AllComparisons,,
74,a girl; a man,5 men; a girl,a girl; 5 men,5 men,a girl,5,1,AllComparisons,,
75,a girl; a man,a girl; 5 men,a girl; 5 men,a girl,5 men,1,5,AllComparisons,,
76,a girl; a man,a man; 5 girls,5 girls; a man,a man,5 girls,1,5,AllComparisons,,
77,a girl; a man,5 girls; a man,5 girls; a man,5 girls,a man,5,1,AllComparisons,,
78,a girl; a man,5 men; 5 girls,5 girls; 5 men,5 men,5 girls,5,5,AllComparisons,,
79,a girl; a man,5 girls; 5 men,5 girls; 5 men,5 girls,5 men,5,5,AllComparisons,,
